City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
672,Vanimo,PG,79.02,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
673,Coruripe,BR,78.4,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
675,Mercaderes,CO,71.98,moderate rain,1.8009,-77.166,CASA EL BOSQUE TURISMER
676,Sinnamary,GF,78.55,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
678,Carupano,VE,79.93,overcast clouds,10.6678,-63.2585,Hotel La dorada
682,Dwarka,IN,79.2,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
683,Allende,MX,94.75,scattered clouds,25.2833,-100.0167,Ecovergel Hotel Boutique
684,Cabedelo,BR,78.4,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
687,Tiarei,PF,77.02,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
691,Sambava,MG,75.83,light rain,-14.2667,50.1667,Melrose
693,Samarai,PG,81.25,broken clouds,-10.6167,150.6667,Nuli Sapi
695,Soavinandriana,MG,65.26,broken clouds,-19.1667,46.7333,
696,Simplicio Mendes,BR,82.36,broken clouds,-7.8539,-41.9103,Fidalgo
698,Kempsey,AU,69.94,few clouds,-31.0833,152.8333,Park Drive Motel
701,Damaturu,NG,84.83,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
703,Fuerte Olimpo,PY,74.59,few clouds,-21.0415,-57.8738,Hospedaje DAMI
