City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Avarua,CK,-21.2078,-159.775,75.25,60,40,12.66,scattered clouds
129,Iwanai,JP,42.9744,140.5089,44.28,91,1,4.63,clear sky
130,Kishcha,RU,42.1768,47.5812,43.95,85,90,1.7,overcast clouds
131,East London,ZA,-33.0153,27.9116,63.68,62,100,13.67,overcast clouds
132,Biak,ID,-0.9131,122.8766,76.21,74,100,3.11,overcast clouds
133,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,6.91,broken clouds
134,Desterro,BR,-7.2906,-37.0939,87.08,36,73,13.76,broken clouds
135,Pochutla,MX,15.7432,-96.4661,88.83,60,89,7.05,overcast clouds
136,Yulara,AU,-25.2406,130.9889,60.64,51,0,8.05,clear sky
137,Dvinskoy,RU,62.1535,45.1175,28.92,90,16,7.18,few clouds
138,Cape Town,ZA,-33.9258,18.4232,60.28,71,20,5.01,few clouds
139,Raudeberg,NO,61.9875,5.1352,52.2,93,100,10.0,overcast clouds
140,Provideniya,RU,64.3833,-173.3,24.91,58,0,11.18,clear sky
141,Marsa Matruh,EG,31.3525,27.2453,73.6,68,40,11.5,scattered clouds
142,Pacific Grove,US,36.6177,-121.9166,67.42,84,100,10.0,overcast clouds
143,Kodiak,US,57.79,-152.4072,44.11,87,90,0.0,overcast clouds
144,Chapais,CA,49.7834,-74.8492,44.38,59,100,6.69,overcast clouds
145,Te Anau,NZ,-45.4167,167.7167,52.65,96,100,0.76,light rain
146,Kaitangata,NZ,-46.2817,169.8464,52.25,92,98,1.05,overcast clouds
147,Brae,GB,60.3964,-1.353,51.71,95,100,10.67,overcast clouds
148,Santa Marta,CO,11.2408,-74.199,84.78,75,72,8.84,broken clouds
149,Qaanaaq,GL,77.484,-69.3632,-3.08,60,0,10.63,clear sky
150,Puerto Leguizamo,CO,-0.1934,-74.7819,84.06,69,99,2.59,overcast clouds
151,Nikolaevo,BG,42.6333,25.8,47.08,79,5,2.84,clear sky
152,Saldanha,ZA,-33.0117,17.9442,59.05,74,0,20.54,clear sky
153,Makakilo City,US,21.3469,-158.0858,77.32,81,75,5.75,broken clouds
154,Celestun,MX,20.8667,-90.4,85.71,70,79,9.71,broken clouds
155,Saskylakh,RU,71.9167,114.0833,-9.85,100,95,4.74,overcast clouds
156,Afsin,TR,38.2477,36.914,49.82,23,7,1.99,clear sky
157,Yerbogachen,RU,61.2767,108.0108,34.56,97,100,9.91,light rain
158,Lima,PE,-12.0432,-77.0282,67.14,72,75,10.36,broken clouds
159,Gallup,US,35.5281,-108.7426,63.36,29,1,1.99,clear sky
160,Galesong,ID,-5.3166,119.3661,79.63,78,66,7.0,broken clouds
161,Soyo,AO,-6.1349,12.3689,77.7,82,100,10.71,overcast clouds
162,Pudozh,RU,61.8099,36.5345,28.18,82,31,2.71,scattered clouds
163,Cidreira,BR,-30.1811,-50.2056,69.35,46,0,13.22,clear sky
164,Cap Malheureux,MU,-19.9842,57.6142,74.46,70,83,5.01,broken clouds
