City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
76,Vila Franca Do Campo,PT,2021-10-24 18:35:49,37.7167,-25.4333,68.41,72,7,6.71
77,Cayenne,GF,2021-10-24 18:35:49,4.9333,-52.3333,86.04,84,75,5.01
78,Tual,ID,2021-10-24 18:23:57,-5.6667,132.75,82.04,76,100,5.23
79,Vardo,NO,2021-10-24 18:35:50,70.3705,31.1107,35.58,75,40,14.97
80,Portland,US,2021-10-24 18:24:38,45.5234,-122.6762,57.78,91,75,1.99
81,Acarau,BR,2021-10-24 18:35:50,-2.8856,-40.12,85.08,61,27,17.36
82,Olafsvik,IS,2021-10-24 18:22:15,64.8945,-23.7142,42.28,87,99,14.94
83,Coolum Beach,AU,2021-10-24 18:35:51,-26.5333,153.1,73.11,90,61,1.01
84,Quang Ngai,VN,2021-10-24 18:26:48,15.1167,108.8,74.59,94,96,6.46
85,Lebu,CL,2021-10-24 18:31:01,-37.6167,-73.65,57.85,77,3,10.51
86,Hofn,IS,2021-10-24 18:35:52,64.2539,-15.2082,42.89,86,100,16.24
87,Nhulunbuy,AU,2021-10-24 18:35:52,-12.2333,136.7667,75.81,78,100,0.0
88,Cabo San Lucas,MX,2021-10-24 18:25:06,22.8909,-109.9124,88.61,69,20,11.5
89,Rabo De Peixe,PT,2021-10-24 18:35:53,37.8,-25.5833,67.51,68,20,10.36
90,Asau,RO,2021-10-24 18:27:18,46.4333,26.4,39.4,69,50,2.53
91,Puerto Ayora,EC,2021-10-24 18:35:53,-0.7393,-90.3518,78.76,82,99,10.31
92,Kapaa,US,2021-10-24 18:32:28,22.0752,-159.319,78.48,78,40,1.01
93,Faanui,PF,2021-10-24 18:35:54,-16.4833,-151.75,76.14,89,100,11.97
94,Wanning,CN,2021-10-24 18:35:54,18.8003,110.3967,70.39,84,96,9.31
95,Svetlogorsk,BY,2021-10-24 18:27:42,52.6333,29.7333,35.24,68,95,5.99
96,New Norfolk,AU,2021-10-24 18:35:55,-42.7826,147.0587,47.7,69,99,1.99
97,Labuhan,ID,2021-10-24 18:35:55,-6.8844,112.2051,79.39,80,100,6.13
98,Tura,IN,2021-10-24 18:35:56,25.5198,90.2201,67.03,96,1,2.46
99,Klaksvik,FO,2021-10-24 18:31:51,62.2266,-6.589,50.92,89,99,23.82
100,Mahebourg,MU,2021-10-24 18:35:56,-20.4081,57.7,75.25,78,20,12.66
101,Norman Wells,CA,2021-10-24 18:35:57,65.282,-126.8329,21.24,93,90,3.44
102,Flinders,AU,2021-10-24 18:35:57,-34.5833,150.8552,57.79,88,1,3.96
103,Bosaso,SO,2021-10-24 18:35:58,11.2842,49.1816,80.38,64,6,2.66
104,Saskylakh,RU,2021-10-24 18:35:58,71.9167,114.0833,-14.94,100,67,4.59
105,Filingue,NE,2021-10-24 18:35:59,14.3521,3.3168,94.15,20,100,3.04
106,Lazaro Cardenas,MX,2021-10-24 18:35:59,17.9583,-102.2,79.05,85,100,3.56
107,Puerto Lempira,HN,2021-10-24 18:35:59,15.2667,-83.7667,86.14,74,75,9.22
108,Bethel,US,2021-10-24 18:36:00,41.3712,-73.414,59.47,64,90,5.75
109,Touros,BR,2021-10-24 18:33:27,-5.1989,-35.4608,86.9,63,7,14.79
110,Loandjili,CG,2021-10-24 18:36:00,-4.7561,11.8578,80.71,83,75,9.22
111,Luderitz,NA,2021-10-24 18:36:01,-26.6481,15.1594,62.67,57,0,16.53
112,Conde,BR,2021-10-24 18:26:18,-7.2597,-34.9075,85.46,54,40,12.66
113,Saryozek,KZ,2021-10-24 18:36:02,44.3583,77.9753,41.77,35,0,4.74
114,Itupiranga,BR,2021-10-24 18:36:02,-5.1347,-49.3267,95.32,62,81,2.68
115,Lebedinyy,RU,2021-10-24 18:36:03,58.5167,125.5167,26.64,77,100,11.52
116,Mahon,ES,2021-10-24 18:36:03,39.8885,4.2658,63.16,94,20,5.75
117,Bastrop,US,2021-10-24 18:35:59,32.7562,-91.8724,82.08,74,85,4.0
118,Bengkulu,ID,2021-10-24 18:36:04,-3.8004,102.2655,75.42,89,100,5.64
119,Itarema,BR,2021-10-24 18:36:04,-2.9248,-39.9167,85.08,59,1,17.2
120,Necochea,AR,2021-10-24 18:36:05,-38.5473,-58.7368,71.04,44,3,11.21
121,Arraial Do Cabo,BR,2021-10-24 18:36:05,-22.9661,-42.0278,73.36,83,75,4.61
122,Agirish,RU,2021-10-24 18:36:06,61.9247,63.0231,30.61,72,100,2.21
123,Cockburn Town,TC,2021-10-24 18:36:06,21.4612,-71.1419,85.96,66,40,10.36
124,Hokitika,NZ,2021-10-24 18:27:15,-42.7167,170.9667,56.7,92,100,4.5
125,Atkinson,US,2021-10-24 18:36:07,42.8384,-71.147,59.67,43,1,1.01
126,Lahat,ID,2021-10-24 18:36:07,-3.8,103.5333,73.02,94,82,1.68
127,Tiksi,RU,2021-10-24 18:36:08,71.6872,128.8694,2.21,99,100,6.87
128,Leningradskiy,RU,2021-10-24 18:36:09,69.3833,178.4167,8.82,95,100,7.07
129,San Policarpo,PH,2021-10-24 18:25:16,12.1791,125.5072,78.21,86,100,3.49
130,Kavieng,PG,2021-10-24 18:24:19,-2.5744,150.7967,81.7,77,58,10.85
131,Lisala,CD,2021-10-24 18:36:09,2.15,21.5167,71.42,99,100,2.48
132,Tautira,PF,2021-10-24 18:36:10,-17.7333,-149.15,73.42,91,100,17.87
133,Bathsheba,BB,2021-10-24 18:36:10,13.2167,-59.5167,86.61,66,75,23.02
134,Kaeo,NZ,2021-10-24 18:36:11,-35.1,173.7833,57.33,97,18,3.62
135,Pisco,PE,2021-10-24 18:36:11,-13.7,-76.2167,69.85,64,0,9.22
136,Balaguer,ES,2021-10-24 18:36:11,41.7912,0.8109,60.4,66,0,2.21
137,Bay-Khaak,RU,2021-10-24 18:36:12,51.1667,94.5,34.3,65,93,2.04
138,Ponta Delgada,PT,2021-10-24 18:36:12,37.7333,-25.6667,68.72,68,20,10.36
139,Santa Isabel Do Rio Negro,BR,2021-10-24 18:32:43,-0.4139,-65.0192,88.11,65,100,0.96
140,Longyearbyen,SJ,2021-10-24 18:26:14,78.2186,15.6401,21.04,79,75,4.61
141,Praia,CV,2021-10-24 18:36:13,14.9215,-23.5087,81.14,65,20,23.02
142,Rojhan,PK,2021-10-24 18:36:13,28.6868,69.9534,73.87,45,0,13.4
143,Haines Junction,CA,2021-10-24 18:36:14,60.7522,-137.5108,19.35,93,19,0.0
144,Rio De Janeiro,BR,2021-10-24 18:35:23,-22.9028,-43.2075,84.15,76,40,5.75
